ID,interest,knowledge,helped_learning,rating
0,3,6,3,3
1,4,5,6,5
2,3,3,7,2
3,5,5,5,6
4,6,6,3,6
5,1,6,6,2
6,6,4,1,5
7,7,7,3,3
8,4,2,2,4
9,7,7,4,5
10,7,4,2,7
11,6,6,4,6
12,6,7,4,1
13,4,3,6,1
14,7,7,7,4
15,3,1,1,2
16,2,5,3,7
17,6,7,7,1
18,1,3,1,2
19,5,4,6,5
20,5,3,1,1
21,5,4,2,3
22,1,7,7,5
23,7,3,5,2
24,4,1,5,4
25,2,4,7,3
26,3,3,5,7
27,4,7,3,6
28,3,3,6,7
29,6,2,4,6
30,2,5,6,7
31,3,6,3,7
32,1,7,2,1
33,3,6,7,3
34,4,5,5,5
35,3,6,6,2
36,6,5,5,2
37,7,2,2,6
38,1,6,1,7
39,1,1,4,3
40,1,3,2,4
41,5,3,3,7
42,3,4,3,6
43,6,6,6,5
44,4,3,7,1
45,7,5,4,1
46,2,4,3,6
47,7,5,3,6
48,1,2,4,3
49,2,4,5,4
50,1,5,1,5
51,3,5,2,3
52,6,2,2,7
53,2,2,4,6
54,3,3,1,4
55,5,3,3,7
56,4,5,4,7
57,2,3,2,4
58,2,6,2,1
59,6,7,1,6
60,7,2,3,6
61,4,6,4,3
62,3,4,5,2
63,2,5,4,6
64,4,5,7,7
65,1,3,1,1
66,4,3,5,2
67,7,2,6,5
68,6,1,4,4
69,4,2,7,6
70,4,4,3,4
71,1,7,3,4
72,3,7,5,1
73,6,4,2,7
74,4,2,6,5
75,4,1,1,4
76,6,3,5,3
77,5,4,6,3
78,3,4,5,7
79,4,4,7,5
80,1,2,2,5
81,7,5,4,6
82,1,3,7,4
83,1,1,3,4
84,6,2,5,4
85,7,6,7,5
86,3,1,7,3
87,7,5,6,3
88,1,5,7,4
89,7,2,7,3
90,6,7,5,4
91,2,5,6,6
92,6,3,4,2
93,7,3,1,3
94,3,3,7,7
95,2,7,3,6
96,4,7,4,2
97,4,7,6,4
98,2,4,7,1
99,7,6,1,1
100,7,5,6,1
101,6,3,6,1
102,7,1,4,7
103,7,5,2,5
104,1,6,2,1
105,7,7,1,1
106,6,7,5,3
107,4,4,6,2
108,6,4,4,3
109,4,5,6,6
110,7,7,6,7
111,2,6,2,5
112,7,2,7,4
113,1,1,2,2
114,3,6,7,5
115,6,1,3,5
116,7,4,5,2
117,2,3,7,2
118,3,3,3,7
119,1,3,1,7
120,3,2,4,1
121,6,7,7,3
122,5,2,2,2
123,5,6,3,2
124,1,1,6,7
125,4,4,4,6
126,3,2,2,5
127,1,3,4,7
128,2,5,1,2
129,1,1,4,1
130,2,6,7,4
131,7,3,3,4
132,4,3,4,3
133,3,4,6,5
134,5,1,2,3
135,7,4,4,7
136,2,3,6,2
137,1,5,5,6
138,3,2,4,5
139,7,6,4,3
140,2,2,3,1
141,4,5,6,2
142,5,7,6,2
143,4,2,6,6
144,5,1,3,4
145,6,6,6,1
146,7,6,3,2
147,6,7,7,3
148,6,1,6,3
149,6,2,1,6
150,7,4,4,6
151,6,6,3,4
152,2,6,1,5
153,3,3,3,7
154,6,2,2,6
155,4,4,1,2
156,6,3,5,7
157,7,7,5,6
158,3,3,1,5
