ID,interest,knowledge,helped_learning,rating
0,2,2,2,2
1,3,6,2,4
2,4,5,3,3
3,4,2,4,4
4,6,2,5,2
5,3,1,4,5
6,5,1,4,7
7,4,3,2,1
8,7,7,5,6
9,7,5,6,5
10,1,7,3,6
11,7,6,7,4
12,7,6,5,3
13,2,7,7,6
14,4,5,6,4
15,6,1,5,1
16,4,2,3,6
17,5,6,1,4
18,1,3,7,5
19,5,2,7,6
20,3,4,5,7
21,4,5,5,5
22,3,1,7,4
23,4,4,7,1
24,3,5,6,4
25,1,5,4,6
26,5,3,3,2
27,2,5,3,1
28,5,5,7,2
29,2,7,3,1
30,2,1,7,3
31,4,1,2,1
32,3,3,5,3
33,1,7,2,1
34,7,1,7,3
35,5,2,2,3
36,3,3,5,5
37,7,4,3,4
38,2,7,4,6
39,3,2,5,4
40,7,3,5,6
41,1,2,6,4
42,4,4,5,1
43,7,7,5,2
44,2,4,4,5
45,5,1,4,7
46,2,6,2,6
47,5,4,2,4
48,6,6,6,4
49,4,1,3,6
50,4,7,3,1
51,7,2,1,4
52,4,1,3,7
53,1,2,1,6
54,4,3,1,5
55,2,3,7,2
56,1,2,5,2
57,5,1,3,6
58,1,5,7,2
59,3,7,6,4
60,1,1,3,6
61,5,2,7,2
62,6,2,4,7
63,7,7,1,1
64,2,5,4,2
65,5,4,1,4
66,1,5,1,7
67,5,6,3,5
68,7,5,1,1
69,4,3,2,1
70,7,1,3,5
71,1,5,2,2
72,7,7,4,4
73,6,2,6,2
74,1,3,2,5
75,5,1,5,4
76,2,1,6,7
77,5,6,3,7
78,7,3,7,2
79,7,6,5,1
80,3,7,4,6
81,4,5,1,4
82,6,2,3,5
83,6,4,1,5
84,4,2,6,7
85,2,1,3,3
86,5,7,5,6
87,6,1,4,4
88,4,1,7,7
89,4,2,2,5
90,5,5,2,6
91,4,3,3,3
92,6,7,7,5
93,7,7,7,2
94,1,2,2,4
95,4,6,3,1
96,2,2,1,4
97,7,3,3,5
98,5,3,5,7
99,2,2,7,2
100,2,2,6,3
101,2,5,7,4
102,4,2,5,4
103,4,2,5,6
104,6,2,3,2
105,7,2,7,5
106,4,6,5,7
107,3,5,7,6
108,3,1,3,5
109,3,2,1,3
110,2,2,1,5
111,6,1,6,1
112,5,1,2,3
113,5,2,7,5
114,2,1,7,7
115,7,5,6,4
116,6,4,3,1
117,4,1,5,2
118,1,4,5,1
119,5,1,4,5
120,4,3,4,4
121,7,1,7,6
122,2,2,7,5
123,4,5,3,2
124,6,1,4,2
125,2,4,1,1
126,4,2,1,4
127,1,1,5,7
128,2,2,6,5
129,2,7,6,3
130,6,5,7,6
131,4,5,2,7
132,3,6,1,1
133,6,3,7,5
134,3,4,2,5
135,6,7,1,1
136,1,6,6,5
137,6,7,2,7
138,4,7,1,3
139,1,7,4,4
140,2,1,7,2
141,6,3,3,7
142,1,1,4,7
