ID,interest,knowledge,helped_learning,rating
0,3,1,1,5
1,7,2,1,3
2,2,6,7,3
3,6,7,7,4
4,7,6,1,4
5,3,3,5,7
6,5,3,1,6
7,6,6,7,5
8,6,2,3,7
9,6,4,2,5
10,5,5,5,4
11,7,5,6,4
12,3,1,1,7
13,2,4,6,1
14,5,7,7,5
15,3,5,5,4
16,2,3,3,3
17,7,7,4,1
18,2,2,2,1
19,3,6,5,1
20,3,6,2,3
21,5,1,1,7
22,4,4,7,1
23,1,5,6,5
24,1,6,1,7
25,3,7,7,5
26,4,7,7,6
27,3,7,6,4
28,2,7,7,6
29,5,3,1,2
30,1,2,3,6
31,3,5,3,6
32,6,7,4,6
33,3,7,1,5
34,3,4,6,4
35,4,2,4,1
36,2,1,6,1
37,2,5,4,2
38,1,6,1,2
39,1,6,4,5
40,2,6,3,1
41,3,3,2,5
42,3,7,6,7
43,6,6,7,5
44,6,5,2,5
45,3,4,1,3
46,1,1,4,5
47,6,1,1,4
48,1,5,3,3
49,5,1,4,6
50,7,4,2,4
51,4,3,5,4
52,6,4,2,1
53,1,6,5,7
54,7,4,2,7
55,4,5,1,6
56,5,6,3,6
57,6,4,1,3
58,2,4,5,2
59,3,7,2,6
60,1,5,3,4
61,5,5,1,4
62,3,4,7,6
63,5,2,1,6
64,7,6,4,1
65,1,6,7,6
66,4,1,1,1
67,6,6,5,4
68,2,6,7,3
69,1,5,7,2
70,2,4,7,5
71,4,1,7,5
72,5,2,3,1
73,4,2,7,5
74,6,4,6,6
75,6,7,3,4
76,4,2,3,6
77,7,5,7,1
78,5,3,2,1
79,4,1,2,6
80,6,1,4,6
81,5,5,3,5
82,2,2,3,2
83,7,7,3,6
84,1,6,2,6
85,4,5,2,6
86,7,7,6,3
87,7,1,4,2
88,7,2,7,1
89,4,4,2,2
90,6,7,4,5
91,2,6,6,7
92,5,3,5,6
93,1,3,5,3
94,1,7,5,2
95,2,7,2,7
96,1,3,3,2
97,4,4,2,5
98,1,3,1,6
